,0.8,0.9,0.95,0.975
1,3.077683537175,6.313751514675,12.706204736175,25.451699579357
2,1.885618083164,2.919985580354,4.302652729749,6.205346816571
3,1.637744353696,2.353363434802,3.182446305284,4.176534846105
4,1.533206274059,2.131846786327,2.776445105198,3.495405932516
5,1.475884048824,2.015048373333,2.570581835636,3.163381449749
6,1.439755747265,1.943180280515,2.446911851145,2.968686684153
7,1.414923927651,1.894578605090,2.364624251593,2.841244248588
8,1.396815309744,1.859548037531,2.306004135204,2.751523596063
9,1.383028738397,1.833112932656,2.262157162798,2.685010846816
10,1.372183641110,1.812461122812,2.228138851986,2.633766915712
11,1.363430318021,1.795884818704,2.200985160092,2.593092682539
12,1.356217334023,1.782287555649,2.178812829667,2.560032959359
13,1.350171288780,1.770933395987,2.160368656463,2.532637814661
14,1.345030374455,1.761310135775,2.144786687918,2.509569411493
15,1.340605607850,1.753050355693,2.131449545560,2.489879703480
16,1.336757167327,1.745883676276,2.119905299221,2.472878322462
17,1.333379389722,1.739606726075,2.109815577833,2.458050720379
18,1.330390943570,1.734063606618,2.100922040241,2.445005616515
19,1.327728209027,1.729132811521,2.093024054408,2.433440211375
20,1.325340706985,1.724718242921,2.085963447266,2.423116539873
21,1.323187873865,1.720742902812,2.079613844728,2.413845016599
22,1.321236741613,1.717144374380,2.073873067904,2.405472746262
23,1.319460239816,1.713871527747,2.068657610419,2.397875064657
24,1.317835933673,1.710882079909,2.063898561628,2.390949315129
25,1.316345072674,1.708140761252,2.059538552753,2.384610200805
26,1.314971864271,1.705617919759,2.055529438643,2.378786266236
27,1.313702912829,1.703288445722,2.051830516480,2.373417200913
28,1.312526781593,1.701130934266,2.048407141795,2.368451749169
29,1.311433647302,1.699127026534,2.045229642133,2.363846073208
30,1.310415025391,1.697260886594,2.042272456301,2.359562458701
31,1.309463549495,1.695518782546,2.039513446396,2.355568282160
32,1.308572793130,1.693888748384,2.036933343460,2.351835180376
33,1.307737124451,1.692360309030,2.034515297449,2.348338377257
34,1.306951587126,1.690924255187,2.032244509318,2.345056134345
35,1.306211802016,1.689572457780,2.030107928250,2.341969299301
36,1.305513885536,1.688297714117,2.028094000980,2.339060932575
37,1.304854381498,1.687093619596,2.026192463029,2.336315996910
38,1.304230203891,1.685954460167,2.024394163912,2.333721097687
39,1.303638588621,1.684875121711,2.022690920037,2.331264264659
40,1.303077052607,1.683851013336,2.021075390306,2.328934767569
41,1.302543358953,1.682878002133,2.019540970441,2.326722959691
42,1.302035487183,1.681952357468,2.018081702818,2.324620144463
43,1.301551607682,1.681070703203,2.016692199228,2.322618461342
44,1.301090059689,1.680229976572,2.015367574444,2.320710787728
45,1.300649332250,1.679427392652,2.014103388881,2.318890654370
46,1.300228047707,1.678660413557,2.012895598919,2.317152172150
47,1.299824947312,1.677926721642,2.011740513730,2.315489968491
48,1.299438878671,1.677224196124,2.010634757624,2.313899131951
49,1.299068784748,1.676550892617,2.009575237129,2.312375163800
50,1.298713694195,1.675905025163,2.008559112101,2.310913935565
51,1.298372712848,1.675284950425,2.007583770316,2.309511651716
52,1.298045016210,1.674689153726,2.006646805062,2.308164816771
53,1.297729842791,1.674116236703,2.005745995318,2.306870206227
54,1.297426488209,1.673564906352,2.004879288188,2.305624840805
55,1.297134299931,1.673033965290,2.004044783289,2.304425963575
56,1.296852672590,1.672522303076,2.003240718848,2.303271019597
57,1.296581043799,1.672028888461,2.002465459291,2.302157637758
58,1.296318890404,1.671552762455,2.001717484145,2.301083614534
59,1.296065725122,1.671093032104,2.000995378088,2.300046899441
60,1.295821093516,1.670648864905,2.000297822014,2.299045581979
61,1.295584571275,1.670219483774,1.999623584995,2.298077879887
62,1.295355761761,1.669804162512,1.998971517033,2.297142128564
63,1.295134293783,1.669402221707,1.998340542521,2.296236771515
64,1.294919819595,1.669013025024,1.997729654318,2.295360351720
65,1.294712013071,1.668635975848,1.997137908392,2.294511503810
66,1.294510568048,1.668270514228,1.996564418952,2.293688946974
67,1.294315196828,1.667916114107,1.996008354025,2.292891478517
68,1.294125628800,1.667572280797,1.995468931430,2.292117967986
69,1.293941609194,1.667238548669,1.994945415107,2.291367351838
70,1.293762897938,1.666914479056,1.994437111771,2.290638628552
71,1.293589268611,1.666599658329,1.993943367846,2.289930854179
72,1.293420507491,1.666293696132,1.993463566662,2.289243138264
73,1.293256412671,1.665996223771,1.992997125890,2.288574640108
74,1.293096793260,1.665706892734,1.992543495181,2.287924565340
75,1.292941468636,1.665425373323,1.992102154002,2.287292162773
76,1.292790267768,1.665151353405,1.991672609645,2.286676721507
77,1.292643028588,1.664884537258,1.991254395388,2.286077568262
78,1.292499597410,1.664624644507,1.990847068812,2.285494064928
79,1.292359828395,1.664371409137,1.990450210230,2.284925606291
80,1.292223583059,1.664124578590,1.990063421254,2.284371617947
81,1.292090729811,1.663883912923,1.989686323457,2.283831554360
82,1.291961143533,1.663649184029,1.989318557137,2.283304897079
83,1.291834705184,1.663420174919,1.988959780175,2.282791153069
84,1.291711301439,1.663196679049,1.988609666976,2.282289853177
85,1.291590824347,1.662978499702,1.988267907477,2.281800550707
86,1.291473171017,1.662765449409,1.987934206239,2.281322820082
87,1.291358243325,1.662557349413,1.987608281589,2.280856255623
